State,Value,Rank
California,931,1
Pennsylvania,486,2
New York,485,3
Washington,437,4
Colorado,428,5
Michigan,408,6
Texas,406,7
Florida,374,8
Ohio,365,9
North Carolina,364,10
Virginia,314,11
Oregon,310,12
Illinois,299,13
Wisconsin,230,14
Minnesota,226,15
Indiana,203,16
Massachusetts,194,17
Missouri,157,18
Georgia,155,19
Maine,143,20
Tennessee,141,21
New Jersey,141,22
South Carolina,129,23
Maryland,125,24
Arizona,121,25
Connecticut,119,26
Iowa,108,27
Montana,105,28
New Mexico,100,29
New Hampshire,98,30
Idaho,83,31
Kentucky,82,32
Oklahoma,76,33
Vermont,74,34
Kansas,66,35
Nebraska,63,36
Alaska,53,37
Alabama,52,38
Nevada,51,39
Arkansas,46,40
Wyoming,45,41
Louisiana,44,42
South Dakota,42,43
Utah,40,44
Rhode Island,37,45
Delaware,35,46
West Virginia,29,47
Hawaii,27,48
North Dakota,23,49
Mississippi,18,50
